pincode,office,district,state
504273,Kothimir B.O,kumuram bheem asifabad,telangana
504299,Papanpet B.O,kumuram bheem asifabad,telangana
504296,Bareguda B.O,kumuram bheem asifabad,telangana
504209,Vempalli B.O,mancherial,telangana
504272,Chakepalli B.O,mancherial,telangana
504297,Ginnedhari B.O,kumuram bheem asifabad,telangana
504295,Malini,kumuram bheem asifabad,telangana
506371,Yellapur B.O,hanumakonda,telangana
505415,Yellapur B.O,jagitial,telangana
505304,Mucherla B.O,rajanna sircilla,telangana
505532,Pegadapalli B.O,jagitial,telangana
506003,Kondaparthy B.O,hanumakonda,telangana
506145,Abdulnagaram B.O,jangoan,telangana
506144,Rajavaram B.O,jangoan,telangana
506221,China Raman Cherla B.O,jangoan,telangana
506301,Tatikonda B.O,jangoan,telangana
506223,Chinchinkota B.O,siddipet,telangana
506143,Garmillapalli B.O,hanumakonda,telangana
505467,Samudrala,siddipet,telangana
506175,Narmetta B.O,jangoan,telangana
506367,Rebarthy B.O,siddipet,telangana
506355,Posanpalli B.O,siddipet,telangana
506201,Pasaramadla B.O,jangoan,telangana
506244,Nidigonda B.O,jangoan,telangana
506303,Wanaparthy B.O,jangoan,telangana
506342,Dammannapet B.O,warangal,telangana
505301,Nagaram B.O,rajanna sircilla,telangana
506169,Kasimpalli B.O,jayashankar bhupalapally,telangana
506168,Laxmareddipalli B.O,jayashankar bhupalapally,telangana
506356,Garimillapalli B.O,jayashankar bhupalapally,telangana
506165,Sarvai B.O,mulugu,telangana
506345,Thimmapur B.O,jayashankar bhupalapally,telangana
506344,Machapur B.O,mulugu,telangana
506352,Potlapur B.O,mulugu,telangana
506172,Balannagudem B.O,mulugu,telangana
506170,Jadalpet B.O,jayashankar bhupalapally,telangana
506350,Relakunta B.O,warangal,telangana
506366,Akinepalli B.O,jayashankar bhupalapally,telangana
506343,Abbapur B.O,mulugu,telangana
506391,Narlapur B.O,warangal,telangana
506347,Oorattam B.O,mulugu,telangana
502102,Narlapur BO,medak,telangana
506348,Ramannagudem B.O,jayashankar bhupalapally,telangana
506319,Gatlakaniparthy B.O,jayashankar bhupalapally,telangana
505425,Donthapur B.O,jagitial,telangana
505450,Vemulakurthi B.O,jagitial,telangana
505452,Maddutla B.O,jagitial,telangana
505403,Bandapalli B.O,rajanna sircilla,telangana
505453,Kalvakota B.O,jagitial,telangana
505325,Chowlamaddi B.O,jagitial,telangana
505404,Namapur B.O,rajanna sircilla,telangana
505331,Mogalpet B.O,jagitial,telangana
502313,Ratnapur B.O,medak,telangana
505454,Nakkalapet B.O,jagitial,telangana
505455,Chelgal B.O,jagitial,telangana
505529,Pembatla Konapur B.O,jagitial,telangana
505305,Adivipadira B.O,rajanna sircilla,telangana
505460,Joganapalli B.O,jagitial,telangana
505307,Thimmapur B.O,rajanna sircilla,telangana
506102,Mallial B.O,mahabubabad,telangana
503305,BASWAPUR B.O,kamareddy,telangana
505405,Tangallapalli B.O,rajanna sircilla,telangana
505466,Akkannapet B.O,siddipet,telangana
505528,Gundaram B.O,siddipet,telangana
505524,Tadagonda B.O,rajanna sircilla,telangana
505526,Ambaripet B.O,jagitial,telangana
502291,Atmakur B.O,sangareddy,telangana
505445,Achampalli B.O,karimnagar,telangana
505501,Cheppial B.O,jagitial,telangana
505402,Vallampatla B.O,rajanna sircilla,telangana
505527,Algunur B.O,karimnagar,telangana
